[ FINER ] 12\06\2019 , 17:38 :  Connection Initiated
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ SEVERE ] 12\06\2019 , 17:38 :  Update Query Failed!
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Connection Closed
[ FINER ] 12\06\2019 , 17:38 :  Connection Initiated
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINE ] 12\06\2019 , 17:38 :  Connection Closed
[ FINER ] 12\06\2019 , 17:38 :  Connection Initiated
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINE ] 12\06\2019 , 17:38 :  Connection Closed
[ FINER ] 12\06\2019 , 17:38 :  Connection Initiated
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINE ] 12\06\2019 , 17:38 :  Connection Closed
[ FINER ] 12\06\2019 , 17:38 :  Connection Initiated
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Create|Drop Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINER ] 12\06\2019 , 17:38 :  Statement Created
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Select Query executed
[ FINE ] 12\06\2019 , 17:38 :  Update Query executed
[ FINE ] 12\06\2019 , 17:38 :  Select Query executed
[ FINE ] 12\06\2019 , 17:38 :  Statement Closed
[ FINE ] 12\06\2019 , 17:38 :  Connection Closed
[ FINER ] 12\07\2019 , 00:39 :  Connection Initiated
[ FINER ] 12\07\2019 , 00:39 :  Statement Created
[ FINE ] 12\07\2019 , 00:39 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:39 :  Create|Drop Query executed
[ FINE ] 12\07\2019 , 00:39 :  Statement Closed
[ FINER ] 12\07\2019 , 00:39 :  Statement Created
[ FINE ] 12\07\2019 , 00:39 :  Statement Closed
[ FINER ] 12\07\2019 , 00:39 :  Statement Created
[ FINER ] 12\07\2019 , 00:39 :  Statement Created
[ FINER ] 12\07\2019 , 00:39 :  Statement Created
[ FINE ] 12\07\2019 , 00:39 :  Update Query executed
