[ FINER ] 12\07\2019 , 15:59 :  Connection Initiated
[ FINER ] 12\07\2019 , 15:59 :  Statement Created
[ FINE ] 12\07\2019 , 15:59 :  Connection Closed
[ FINE ] 12\07\2019 , 15:59 :  Statement Closed
[ FINER ] 12\07\2019 , 15:59 :  Connection Initiated
[ FINER ] 12\07\2019 , 15:59 :  Statement Created
[ FINE ] 12\07\2019 , 15:59 :  Connection Closed
[ FINE ] 12\07\2019 , 15:59 :  Statement Closed
[ FINER ] 12\07\2019 , 15:59 :  Connection Initiated
[ FINER ] 12\07\2019 , 15:59 :  Statement Created
[ FINE ] 12\07\2019 , 15:59 :  Update Query executed
[ FINE ] 12\07\2019 , 15:59 :  Connection Closed
[ FINE ] 12\07\2019 , 15:59 :  Statement Closed
[ FINER ] 12\07\2019 , 15:59 :  Connection Initiated
[ FINER ] 12\07\2019 , 15:59 :  Statement Created
[ FINE ] 12\07\2019 , 16:00 :  Select Query executed
[ FINE ] 12\07\2019 , 16:00 :  Connection Closed
[ FINE ] 12\07\2019 , 16:00 :  Statement Closed
[ FINER ] 12\07\2019 , 16:00 :  Connection Initiated
[ FINER ] 12\07\2019 , 16:00 :  Statement Created
[ FINE ] 12\07\2019 , 16:00 :  Select Query executed
[ FINE ] 12\07\2019 , 16:00 :  Connection Closed
[ FINE ] 12\07\2019 , 16:00 :  Statement Closed
[ FINER ] 12\07\2019 , 16:00 :  Connection Initiated
[ FINER ] 12\07\2019 , 16:00 :  Statement Created
[ FINER ] 12\07\2019 , 16:13 :  Connection Initiated
[ FINER ] 12\07\2019 , 16:13 :  Statement Created
